Target_name,Complex_participants,Node_id,Target_type,Target_group,Target_group_score_normalized,Conectivity_Score
brd4/hdac1,"ARID4B,BRMS1,BRMS1L,ARID4A,HDAC1,HDAC2,ING1,ING2,RBBP4,RBBP7,SAP30,SAP30L,SIN3A,SUDS3,SAP130",CPX-3321,0,"T2, T3, T4",0.4375,0.0
brd4/hdac1,"ARID4B,BRMS1,BRMS1L,ARID4A,HDAC1,HDAC2,ING1,ING2,RBBP4,RBBP7,SAP30,SAP30L,SIN3B,SUDS3,SAP130",CPX-3322,0,"T2, T3, T4",0.4375,0.0
brd4/hdac1,"ARID4B,BRMS1,BRMS1L,ARID4A,HDAC1,HDAC2,ING1,ING2,RBBP4,RBBP7,SAP30,SAP30L,SIN3A,SINHCAF,OGT,TET1,SUDS3,SAP130",CPX-3323,0,"T2, T3, T4",0.4375,0.0
caspase-1,"PYCARD,CASP1,NLRP1",CPX-4082,0,"T2, T3, T4",0.4375,0.0
caspase-1,"MEFV,PYCARD,CASP1",CPX-4143,0,"T2, T3, T4",0.4375,0.0
caspase-1,"PYCARD,CASP1,NLRC4,NAIP",CPX-4144,0,"T2, T3, T4",0.4375,0.0
estrogen receptor alpha,"ESR1,NCOA2",CPX-5156,0,"T2, T3, T4",0.4375,0.0
nuclear factor nf-kappa-b p105 subunit,"REL,P19838-PRO_0000030311",CPX-5832,0,"T2, T3, T4",0.4375,0.0
nuclear factor nf-kappa-b p105 subunit,"RELB,P19838-PRO_0000030311",CPX-5833,0,"T2, T3, T4",0.4375,0.0
nuclear factor nf-kappa-b p100 subunit (dna-binding factor kbf2) (h2tf1) (lymphocyte translocation chromosome 10 protein) (nuclear factor of kappa light polypeptide gene enhancer in b-cells 2) (oncogene lyt-10) (lyt10) [cleaved into: nuclear factor nf-kappa-b p52 subunit],"P19838-PRO_0000030311,Q00653-PRO_0000030322",CPX-5837,0,"T2, T3, T4",0.4375,0.0
signal transducer and activator of transcription 3,"STAT5B,STAT3",CPX-6044,0,"T2, T3, T4",0.4375,0.0
signal transducer and activator of transcription 3,"STAT4,STAT3",CPX-6046,0,"T2, T3, T4",0.4375,0.0
homeobox protein nkx-2.1 (homeobox protein nk-2 homolog a) (thyroid nuclear factor 1) (thyroid transcription factor 1) (ttf-1) (thyroid-specific enhancer-binding protein) (t/ebp),"NKX2-1,SMAD3",CPX-6062,0,"T2, T3, T4",0.4375,0.0
glycine receptor subunit alpha-1,"GLRA1,GLRB",CPX-7841,0,"T2, T3, T4",0.4375,0.0
bile salt export pump,None,ABCB11,0,"T2, T3",0.431875,0.0
canalicular multispecific organic anion transporter 1,None,ABCC2,0,"T2, T3",0.431875,0.0
canalicular multispecific organic anion transporter 2,None,ABCC3,0,"T2, T3",0.431875,0.0
multidrug resistance-associated protein 4,None,ABCC4,0,"T2, T3",0.431875,0.0
adenosine a1 receptor,None,ADORA1,0,"T2, T3",0.431875,0.0
adenosine a2a receptor,None,ADORA2A,0,"T2, T3",0.431875,0.0
adenosine a3 receptor,None,ADORA3,0,"T2, T3",0.431875,0.0
alpha-1a adrenergic receptor,None,ADRA1A,0,"T2, T3",0.431875,0.0
alpha-1d adrenergic receptor,None,ADRA1D,0,"T2, T3",0.431875,0.0
alpha-2a adrenergic receptor,None,ADRA2A,0,"T2, T3",0.431875,0.0
alpha-2b adrenergic receptor,None,ADRA2B,0,"T2, T3",0.431875,0.0
adrenergic receptor alpha-2c (adra2c),None,ADRA2C,0,"T2, T3",0.431875,0.0
beta-1 adrenergic receptor,None,ADRB1,0,"T2, T3",0.431875,0.0
beta-2 adrenergic receptor,None,ADRB2,0,"T2, T3",0.431875,0.0
beta-3 adrenergic receptor,None,ADRB3,0,"T2, T3",0.431875,0.0
angiotensin ii receptor type-1 (agtr1),None,AGTR1,0,"T2, T3",0.431875,0.0
angiotensin ii type 2 (at-2) receptor,None,AGTR2,0,"T2, T3",0.431875,0.0
aldehyde dehydrogenase 1a1,None,ALDH1A1,0,"T2, T3",0.431875,0.0
succinate semialdehyde dehydrogenase,None,ALDH5A1,0,"T2, T3",0.431875,0.0
arachidonate 15-lipoxygenase,None,ALOX15,0,"T2, T3",0.431875,0.0
cerebroside-sulfatase,None,ARSA,0,"T2, T3",0.431875,0.0
atpase family aaa domain-containing protein 5,None,ATAD5,0,"T2, T3",0.431875,0.0
ataxin-2,None,ATXN2,0,"T2, T3",0.431875,0.0
vasopressin v1a receptor,None,AVPR1A,0,"T2, T3",0.431875,0.0
bradykinin b2 receptor,None,BDKRB2,0,"T2, T3",0.431875,0.0
brd4/hdac1,None,BRD4,0,"T2, T3",0.431875,0.0
carbonic anhydrase ii,None,CA2,0,"T2, T3",0.431875,0.0
cholecystokinin a receptor,None,CCKAR,0,"T2, T3",0.431875,0.0
c-c chemokine receptor type 2,None,CCR2,0,"T2, T3",0.431875,0.0
c-c chemokine receptor type 4,None,CCR4,0,"T2, T3",0.431875,0.0
c-c chemokine receptor type 5,None,CCR5,0,"T2, T3",0.431875,0.0
acyl coenzyme a:cholesterol acyltransferase,None,CES1,0,"T2, T3",0.431875,0.0
carboxylesterase 2,None,CES2,0,"T2, T3",0.431875,0.0
muscarinic acetylcholine receptor m1,None,CHRM1,0,"T2, T3",0.431875,0.0
muscarinic acetylcholine receptor m2,None,CHRM2,0,"T2, T3",0.431875,0.0
muscarinic acetylcholine receptor m3,None,CHRM3,0,"T2, T3",0.431875,0.0
muscarinic acetylcholine receptor m4,None,CHRM4,0,"T2, T3",0.431875,0.0
muscarinic acetylcholine receptor m5,None,CHRM5,0,"T2, T3",0.431875,0.0
cdgsh iron-sulfur domain-containing protein 1,None,CISD1,0,"T2, T3",0.431875,0.0
cannabinoid cb1 receptor,None,CNR1,0,"T2, T3",0.431875,0.0
mothers against decapentaplegic homolog 3,SMAD3,CPX-12,0,"T2, T3",0.431875,0.0
neuronal acetylcholine receptor alpha-7 (chrna7),P36544-PRO_0000000366,CPX-236,0,"T2, T3",0.431875,0.0
integrin alpha-5/neuronal acetylcholine receptor subunit alpha-3/neuronal acetylcholine receptor subunit beta-2/neuronal acetylcholine receptor subunit beta-4,"P17787-PRO_0000000379,P36544-PRO_0000000366",CPX-240,0,"T2, T3",0.431875,0.0
serotonin 3a (5-ht3a) receptor,"HTR3A,HTR3B",CPX-271,0,"T2, T3",0.431875,0.0
serotonin 3a (5-ht3a) receptor,"HTR3D,HTR3A",CPX-272,0,"T2, T3",0.431875,0.0
serotonin 3a (5-ht3a) receptor,"HTR3E,HTR3A",CPX-273,0,"T2, T3",0.431875,0.0
serotonin 3a (5-ht3a) receptor,"HTR3C,HTR3A",CPX-276,0,"T2, T3",0.431875,0.0
proto-oncogene c-jun,"JUN,NFATC2,FOS",CPX-480,0,"T2, T3",0.431875,0.0
proto-oncogene c-jun,"JUN,FOS",CPX-486,0,"T2, T3",0.431875,0.0
proto-oncogene c-jun,JUN,CPX-490,0,"T2, T3",0.431875,0.0
nuclear receptor subfamily 4 group a member 2/retinoic acid receptor rxr-alpha,"RXRA,THRB",CPX-654,0,"T2, T3",0.431875,0.0
caspase-1,"P29466-PRO_0000004522,P29466-PRO_0000004524",CPX-952,0,"T2, T3",0.431875,0.0
calcitonin receptor,"CALCR,RAMP1",CPX-2173,0,"T2, T3",0.431875,0.0
serotonin 3a (5-ht3a) receptor,HTR3A,CPX-2175,0,"T2, T3",0.431875,0.0
calpain-2 (capn2),"CAPN2,CAPNS1",CPX-2674,0,"T2, T3",0.431875,0.0
coagulation factor iii,"P08709-PRO_0000027731,P08709-PRO_0000027730,P13726-PRO_0000033638",CPX-2808,0,"T2, T3",0.431875,0.0
histone deacetylase 2,"DNTTIP1,HDAC2,MIDEAS",CPX-2867,0,"T2, T3",0.431875,0.0
brd4/hdac1,"HDAC1,DNTTIP1,MIDEAS",CPX-2874,0,"T2, T3",0.431875,0.0
herg,"KCNE1,KCNH2",CPX-3072,0,"T2, T3",0.431875,0.0
calcitonin receptor,"CALCR,RAMP2",CPX-3186,0,"T2, T3",0.431875,0.0
calcitonin receptor,"RAMP3,CALCR",CPX-3187,0,"T2, T3",0.431875,0.0
heat shock protein 90 alpha (hsp90a),"CDC37,HSP90AA1",CPX-3288,0,"T2, T3",0.431875,0.0
caspase-1,"PYCARD,CASP1,NLRP3",CPX-4141,0,"T2, T3",0.431875,0.0
caspase-1,"PYCARD,CASP1,AIM2",CPX-4142,0,"T2, T3",0.431875,0.0
nuclear factor nf-kappa-b p105 subunit,"RELA,P19838-PRO_0000030311",CPX-5828,0,"T2, T3",0.431875,0.0
nuclear factor nf-kappa-b p105 subunit,P19838-PRO_0000030311,CPX-5838,0,"T2, T3",0.431875,0.0
signal transducer and activator of transcription 1-alpha/beta,"STAT3,STAT1",CPX-6041,0,"T2, T3",0.431875,0.0
signal transducer and activator of transcription 3,"STAT5A,STAT3",CPX-6043,0,"T2, T3",0.431875,0.0
signal transducer and activator of transcription 3,STAT3,CPX-6049,0,"T2, T3",0.431875,0.0
proto-oncogene c-jun,"JUN,ATF2",CPX-6420,0,"T2, T3",0.431875,0.0
proto-oncogene c-jun,"ATF3,JUN",CPX-6474,0,"T2, T3",0.431875,0.0
proto-oncogene c-jun,"ATF4,JUN",CPX-6562,0,"T2, T3",0.431875,0.0
nuclear factor erythroid 2-related factor 2,"ATF4,NFE2L2",CPX-6570,0,"T2, T3",0.431875,0.0
proto-oncogene c-jun,"ATF7,JUN",CPX-6786,0,"T2, T3",0.431875,0.0
proto-oncogene c-jun,"BATF,JUN",CPX-7005,0,"T2, T3",0.431875,0.0
proto-oncogene c-jun,"BATF2,JUN",CPX-7063,0,"T2, T3",0.431875,0.0
proto-oncogene c-jun,"BATF3,JUN",CPX-7100,0,"T2, T3",0.431875,0.0
l-type amino acid transporter 1,"SLC3A2,SLC7A5",CPX-8185,0,"T2, T3",0.431875,0.0
udp-glucuronosyltransferase 1-9,UGT1A9,CPX-8543,0,"T2, T3",0.431875,0.0
udp-glucuronosyltransferase 1-1,"UGT1A1,UGT1A9",CPX-8552,0,"T2, T3",0.431875,0.0
udp-glucuronosyltransferase 1-1,"UGT2B7,UGT1A1",CPX-8557,0,"T2, T3",0.431875,0.0
udp-glucuronosyltransferase 1-1,"UGT1A1,UGT1A9",CPX-8560,0,"T2, T3",0.431875,0.0
udp-glucuronosyltransferase 1-9,"UGT1A9,UGT2B7",CPX-8562,0,"T2, T3",0.431875,0.0
udp-glucuronosyltransferase 1-1,"UGT2B7,UGT1A1",CPX-8563,0,"T2, T3",0.431875,0.0
gaba receptor beta-3 subunit,"GABRB3,GABRG3,GABRA5",CPX-8575,0,"T2, T3",0.431875,0.0
gaba receptor beta-3 subunit,"GABRA3,GABRB3,GABRG3",CPX-8579,0,"T2, T3",0.431875,0.0
chymotrypsin c,None,CTRC,0,"T2, T3",0.431875,0.0
cathepsin g,None,CTSG,0,"T2, T3",0.431875,0.0
cathepsin l,None,CTSL,0,"T2, T3",0.431875,0.0
interleukin-8,None,CXCL8,0,"T2, T3",0.431875,0.0
interleukin-8 receptor a,None,CXCR1,0,"T2, T3",0.431875,0.0
interleukin-8 receptor b,None,CXCR2,0,"T2, T3",0.431875,0.0
cytochrome p450 1a2,None,CYP1A2,0,"T2, T3",0.431875,0.0
cytochrome p450 2a6,None,CYP2A6,0,"T2, T3",0.431875,0.0
cytochrome p450 2b6,None,CYP2B6,0,"T2, T3",0.431875,0.0
cytochrome p450 2c8,None,CYP2C8,0,"T2, T3",0.431875,0.0
cytochrome p450 2c9,None,CYP2C9,0,"T2, T3",0.431875,0.0
cytochrome p450 2c19,None,CYP2C19,0,"T2, T3",0.431875,0.0
cytochrome p450 2e1,None,CYP2E1,0,"T2, T3",0.431875,0.0
cytochrome p450 3a4,None,CYP3A4,0,"T2, T3",0.431875,0.0
cysteinyl leukotriene receptor 1,None,CYSLTR1,0,"T2, T3",0.431875,0.0
dopamine d1 receptor,None,DRD1,0,"T2, T3",0.431875,0.0
dopamine d3 receptor,None,DRD3,0,"T2, T3",0.431875,0.0
dopamine d4 receptor,None,DRD4,0,"T2, T3",0.431875,0.0
endothelin receptor et-a,None,EDNRA,0,"T2, T3",0.431875,0.0
epidermal growth factor receptor erbb1,None,EGFR,0,"T2, T3",0.431875,0.0
leukocyte elastase,None,ELANE,0,"T2, T3",0.431875,0.0
receptor protein-tyrosine kinase erbb-2,None,ERBB2,0,"T2, T3",0.431875,0.0
estrogen receptor beta,None,ESR2,0,"T2, T3",0.431875,0.0
flap endonuclease 1,None,FEN1,0,"T2, T3",0.431875,0.0
vascular endothelial growth factor receptor 1,None,FLT1,0,"T2, T3",0.431875,0.0
fmlp-related receptor i (fpr2),None,FPR2,0,"T2, T3",0.431875,0.0
tyrosine-protein kinase fyn,None,FYN,0,"T2, T3",0.431875,0.0
"guanine nucleotide-binding protein g(s), subunit alpha",None,GNAS,0,"T2, T3",0.431875,0.0
glycogen synthase kinase-3 alpha,None,GSK3A,0,"T2, T3",0.431875,0.0
glycogen synthase kinase-3 beta,None,GSK3B,0,"T2, T3",0.431875,0.0
histone deacetylase 3,None,HDAC3,0,"T2, T3",0.431875,0.0
histone deacetylase 4,None,HDAC4,0,"T2, T3",0.431875,0.0
histone deacetylase 5,None,HDAC5,0,"T2, T3",0.431875,0.0
histone deacetylase 6,None,HDAC6,0,"T2, T3",0.431875,0.0
histone deacetylase 7,None,HDAC7,0,"T2, T3",0.431875,0.0
histone deacetylase 8,None,HDAC8,0,"T2, T3",0.431875,0.0
histone deacetylase 9,None,HDAC9,0,"T2, T3",0.431875,0.0
hmg-coa reductase,None,HMGCR,0,"T2, T3",0.431875,0.0
histamine h1 receptor,None,HRH1,0,"T2, T3",0.431875,0.0
histamine h2 receptor,None,HRH2,0,"T2, T3",0.431875,0.0
5-ht 2a receptor (htr2a),None,HTR2A,0,"T2, T3",0.431875,0.0
serotonin 2b (5-ht2b) receptor,None,HTR2B,0,"T2, T3",0.431875,0.0
5-ht 2c receptor (htr2c),None,HTR2C,0,"T2, T3",0.431875,0.0
5-ht 6 receptor (htr6),None,HTR6,0,"T2, T3",0.431875,0.0
lysine-specific demethylase 4a,None,KDM4A,0,"T2, T3",0.431875,0.0
tyrosine-protein kinase lck,None,LCK,0,"T2, T3",0.431875,0.0
monoamine oxidase a,None,MAOA,0,"T2, T3",0.431875,0.0
monoamine oxidase b,None,MAOB,0,"T2, T3",0.431875,0.0
map kinase erk2,None,MAPK1,0,"T2, T3",0.431875,0.0
map kinase erk1,None,MAPK3,0,"T2, T3",0.431875,0.0
map kinase p38 alpha,None,MAPK14,0,"T2, T3",0.431875,0.0
microtubule-associated protein tau,None,MAPT,0,"T2, T3",0.431875,0.0
muscleblind-like protein 1,None,MBNL1,0,"T2, T3",0.431875,0.0
melanocortin receptor 3,None,MC3R,0,"T2, T3",0.431875,0.0
melanocortin receptor 4,None,MC4R,0,"T2, T3",0.431875,0.0
melanocortin receptor 5,None,MC5R,0,"T2, T3",0.431875,0.0
matrix metalloproteinase-1,None,MMP1,0,"T2, T3",0.431875,0.0
matrix metalloproteinase 9,None,MMP9,0,"T2, T3",0.431875,0.0
serine/threonine-protein kinase mtor,None,MTOR,0,"T2, T3",0.431875,0.0
endonuclease 8-like 1,None,NEIL1,0,"T2, T3",0.431875,0.0
nerve growth factor (ngf),None,NGF,0,"T2, T3",0.431875,0.0
low-affinity nerve growth factor receptor (ngfr),None,NGFR,0,"T2, T3",0.431875,0.0
nischarin,None,NISCH,0,"T2, T3",0.431875,0.0
niemann-pick c1 protein,None,NPC1,0,"T2, T3",0.431875,0.0
neuropeptide y receptor type 1,None,NPY1R,0,"T2, T3",0.431875,0.0
neuropeptide y receptor type 2,None,NPY2R,0,"T2, T3",0.431875,0.0
bile acid receptor fxr,None,NR1H4,0,"T2, T3",0.431875,0.0
glucocorticoid receptor,None,NR3C1,0,"T2, T3",0.431875,0.0
endonuclease iii-like protein 1,None,NTHL1,0,"T2, T3",0.431875,0.0
n-glycosylase/dna lyase,None,OGG1,0,"T2, T3",0.431875,0.0
delta opioid receptor,None,OPRD1,0,"T2, T3",0.431875,0.0
mu opioid receptor,None,OPRM1,0,"T2, T3",0.431875,0.0
olfactory receptor 51e2,None,OR51E2,0,"T2, T3",0.431875,0.0
phosphodiesterase 5a,None,PDE5A,0,"T2, T3",0.431875,0.0
peroxisome proliferator-activated receptor alpha,None,PPARA,0,"T2, T3",0.431875,0.0
peroxisome proliferator-activated receptor delta,None,PPARD,0,"T2, T3",0.431875,0.0
protein kinase c alpha,None,PRKCA,0,"T2, T3",0.431875,0.0
platelet activating factor receptor,None,PTAFR,0,"T2, T3",0.431875,0.0
cyclooxygenase-1,None,PTGS1,0,"T2, T3",0.431875,0.0
cyclooxygenase-2,None,PTGS2,0,"T2, T3",0.431875,0.0
leukocyte common antigen,None,PTPRC,0,"T2, T3",0.431875,0.0
ras-related protein rab-9a,None,RAB9A,0,"T2, T3",0.431875,0.0
atp-dependent dna helicase q1,None,RECQL,0,"T2, T3",0.431875,0.0
regulator of g-protein signaling 4,None,RGS4,0,"T2, T3",0.431875,0.0
nuclear receptor ror-gamma,None,RORC,0,"T2, T3",0.431875,0.0
opioid receptor sigma 1 (oprs1),None,SIGMAR1,0,"T2, T3",0.431875,0.0
"nad-dependent protein deacylase sirtuin-5, mitochondrial",None,SIRT5,0,"T2, T3",0.431875,0.0
norepinephrine transporter,None,SLC6A2,0,"T2, T3",0.431875,0.0
dopamine transporter,None,SLC6A3,0,"T2, T3",0.431875,0.0
solute carrier family 22 member 1,None,SLC22A1,0,"T2, T3",0.431875,0.0
solute carrier family 22 member 5,None,SLC22A5,0,"T2, T3",0.431875,0.0
solute carrier family 22 member 8,None,SLC22A8,0,"T2, T3",0.431875,0.0
proton-coupled amino acid transporter 1,None,SLC36A1,0,"T2, T3",0.431875,0.0
solute carrier organic anion transporter family member 2b1,None,SLCO2B1,0,"T2, T3",0.431875,0.0
survival motor neuron protein,None,SMN1,0,"T2, T3",0.431875,0.0
survival motor neuron protein,None,SMN2,0,"T2, T3",0.431875,0.0
neurokinin 1 receptor,None,TACR1,0,"T2, T3",0.431875,0.0
neurokinin 2 receptor,None,TACR2,0,"T2, T3",0.431875,0.0
tar dna binding protein 43 (tardbp),None,TARDBP,0,"T2, T3",0.431875,0.0
thromboxane-a synthase,None,TBXAS1,0,"T2, T3",0.431875,0.0
thrombopoietin,None,THPO,0,"T2, T3",0.431875,0.0
thyroid stimulating hormone receptor,None,TSHR,0,"T2, T3",0.431875,0.0
transthyretin,None,TTR,0,"T2, T3",0.431875,0.0
udp-glucuronosyltransferase 1-3,None,UGT1A3,0,"T2, T3",0.431875,0.0
udp-glucuronosyltransferase 1-6,None,UGT1A6,0,"T2, T3",0.431875,0.0
udp-glucuronosyltransferase 1-8,None,UGT1A8,0,"T2, T3",0.431875,0.0
udp-glucuronosyltransferase 1-10,None,UGT1A10,0,"T2, T3",0.431875,0.0
udp-glucuronosyltransferase 2a1,None,UGT2A1,0,"T2, T3",0.431875,0.0
udp-glucuronosyltransferase 2b4,None,UGT2B4,0,"T2, T3",0.431875,0.0
udp-glucuronosyltransferase 2b10,None,UGT2B10,0,"T2, T3",0.431875,0.0
udp-glucuronosyltransferase 2b15,None,UGT2B15,0,"T2, T3",0.431875,0.0
vasoactive intestinal polypeptide receptor 1,None,VIPR1,0,"T2, T3",0.431875,0.0
myc proto-oncogene protein,"MAX,MYC",CPX-91,0,"T2, T4",0.38125,0.0
filamin a (flna),"FLNA,GP1BA,GP1BB,GP9,GP5",CPX-117,0,"T2, T4",0.38125,0.0
h/aca ribonucleoprotein complex subunit 2 (nucleolar protein family a member 2) (snornp protein nhp2),"NOP10,NHP2,TERT,GAR1,DKC1,WRAP53",CPX-265,0,"T2, T4",0.38125,0.0
crl4(crbn) e3 ubiquitin ligase,"DDB1,DDB2",CPX-308,0,"T2, T4",0.38125,0.0
lethal(3)malignant brain tumor-like protein 1,"CBX3,L3MBTL1,RB1",CPX-469,0,"T2, T4",0.38125,0.0
crl4(crbn) e3 ubiquitin ligase,"DDB2,RBX1,CUL4A,DDB1",CPX-477,0,"T2, T4",0.38125,0.0
plasminogen activator inhibitor (pai),"SERPINE1,PLAT",CPX-494,0,"T2, T4",0.38125,0.0
nuclear receptor coactivator 2 (ncoa-2) (class e basic helix-loop-helix protein 75) (bhlhe75) (transcriptional intermediary factor 2) (htif2),"NCOA2,RXRA",CPX-513,0,"T2, T4",0.38125,0.0
myc box-dependent-interacting protein 1 (amphiphysin ii) (amphiphysin-like protein) (box-dependent myc-interacting protein 1) (bridging integrator 1),"BIN1,MYC",CPX-514,0,"T2, T4",0.38125,0.0
